,lat,lon,pred
379,-6.80473,110.58290,0.00011
380,-6.77451,110.86086,0.00000
381,-6.85314,110.80323,0.00000
382,-6.74981,110.60887,0.00000
383,-7.02569,110.53666,0.98033
384,-6.75515,110.59557,0.00366
385,-6.80500,110.57593,0.00000
386,-6.74918,110.62099,0.00000
387,-6.93955,110.52544,0.00000
388,-6.88797,110.99188,0.00000
389,-7.00406,111.31472,0.00000
390,-7.13780,111.56680,0.93209
391,-6.84337,111.66878,0.90101
392,-7.14675,112.16652,0.00000
393,-6.87694,112.29591,0.00005
394,-7.09717,112.26026,0.00000
395,-6.92001,112.29609,0.97650
396,-6.79442,111.89562,0.00000
397,-6.78826,111.93326,0.31390
398,-7.17453,112.67014,0.00000
399,-7.12015,112.70842,0.73297
400,-7.14793,112.65847,0.00000
401,-7.05826,112.71493,0.70576
402,-7.17453,112.66879,0.00023
403,-7.14712,112.65431,0.00000
404,-6.91964,112.56166,0.90514
405,-7.15788,112.66345,0.00000
406,-7.10857,112.61902,0.40552
407,-6.91937,112.56084,0.08771
408,-7.17625,112.65006,0.13575
409,-7.16666,112.60147,0.00003
410,-7.18955,112.66408,0.00000
411,-7.17987,112.64273,0.00049
412,-7.10676,112.61839,0.05799
413,-6.95737,112.57858,0.00001
414,-7.18367,112.65974,0.05968
415,-7.18485,112.66508,0.15964
416,-7.14114,112.43055,0.99856
417,-7.18358,112.65748,0.03572
418,-7.11291,112.61196,0.56414
419,-7.15164,112.63078,0.82559
420,-7.19028,112.66417,0.00000
421,-7.05582,112.71014,0.67849
422,-7.18792,112.62183,0.07042
423,-7.05482,112.70969,0.02015
424,-7.11708,112.61649,0.39897
425,-7.14467,112.63658,0.00130
426,-7.19109,112.65956,0.08753
427,-7.11843,112.61215,0.00000
428,-7.14549,112.62717,0.88261
429,-7.11590,112.61848,0.23182
430,-7.19181,112.65983,0.03734
431,-7.11291,112.61070,0.29046
