,iso,coords,id
1657,PHL,"[14.89512344048014, 120.92813490690058]",8f69416e0431d00
1658,VNM,"[22.094935581486197, 104.82414040068828]",8f4159d80574445
1659,IND,"[30.763863138143115, 76.63943587226152]",8f3d146b0c12c40
1660,BRA,"[-22.932545867064984, -44.03334154262497]",8fa8a1c9c6cb8e1
1661,IDN,"[-7.613664561843508, 111.50357288252303]",8f8d81845a60809
1662,CHN,"[22.12272050120137, 107.90874328716312]",8f41502cb514a11
1663,THA,"[14.859079291113643, 99.70189612728882]",8f64a014174cba2
1664,IND,"[21.9412496927579, 70.51633595986094]",8f42c2ac4136a11
1665,IND,"[17.464501975089004, 78.3925558824192]",8f60a24b482c275
1666,IND,"[22.321362499900843, 70.77819385587374]",8f42c39b292b7a2
1667,VNM,"[16.793662366719886, 107.0705359697021]",8f416150935b336
1668,PHL,"[15.300530179996109, 120.52129459245916]",8f69411868112b3
1669,IND,"[25.566131170541727, 85.17826956674463]",8f3c1316026aa10
1670,VEN,"[7.814718355190449, -71.20720041810229]",8f6676d6a8ee148
1671,IND,"[28.503837712627377, 77.53238780963031]",8f3da13ac659408
1672,IDN,"[-6.552751565040025, 107.96202845518553]",8f8c168d9a134e8
1673,IDN,"[1.506920453814306, 102.15883498530943]",8f6523b60995325
1674,CHN,"[23.62720357008463, 113.28320782387186]",8f411805d611b56
1675,MYS,"[1.369893307435993, 111.55138839771979]",8f68b43a4b49b1e
1676,IND,"[13.029856316101986, 80.13350056625153]",8f618c4cea91828
1677,BRA,"[-20.55309101155641, -54.68493417142656]",8fa873652859206
1678,VNM,"[10.90209453236981, 108.05259778177484]",8f65b40d355e455
1679,IND,"[30.182188568763472, 74.95338329051525]",8f424b865ca4584
1680,DZA,"[36.12346750558638, 6.177898186734621]",8f3871919016428
1681,IND,"[22.203498675216128, 75.4869054258215]",8f609a4308aec04
1682,BRA,"[-1.534885667409261, -48.70635811017008]",8f80445285a9c71
1683,NGA,"[6.695415534393851, 3.331129175203345]",8f5882293dae610
1684,IND,"[12.875200607168116, 77.66531996980204]",8f6189271aa1948
1685,IND,"[12.10964100155359, 78.11499960605707]",8f6032558698759
1686,VNM,"[20.429356649394357, 106.11969640876724]",8f4143c5a7aa913
1687,IND,"[17.106229046509977, 78.02395016566385]",8f60a208d6f2ca1
1688,IND,"[16.602065155946782, 80.66000037808071]",8f619aa5c895b8a
1689,VEN,"[10.603909055529101, -71.61256176673423]",8f662c92d2da8f0
1690,MYS,"[4.615320513825368, 103.3655613431635]",8f65064209902e0
1691,IND,"[19.061595766721716, 72.93513450146477]",8f608b56c531613
1692,IND,"[13.017858499474194, 77.68931305453107]",8f61892e22a0404
1693,IND,"[18.373092483391762, 83.99796817185484]",8f3c9e991914cb2
1694,BRA,"[-1.873753796418292, -48.846209777903475]",8f8044d0bd5c6ab
1695,BRA,"[-4.584556357444733, -44.63815816453161]",8f802ab5819dcec
1696,THA,"[16.370316781860158, 103.23852274983204]",8f659a6b4746635
1697,BRA,"[-17.550761842209955, -39.7810767975001]",8fa89ac8c6a3cf5
1698,PHL,"[12.552027904283724, 121.4629805083373]",8f6959cde8422de
1699,IND,"[22.845782048222347, 69.32623608503825]",8f42c445b82e519
1700,NGA,"[6.585600331758156, 3.385897597990118]",8f589c9165b2d82
1701,IDN,"[-6.340195979061622, 108.30052606722666]",8f8c16c0bd9ecd4
1702,CHN,"[24.662993733405372, 117.64606160748083]",8f41a56d3c25ba3
1703,IND,"[11.388849024597198, 79.68489023088343]",8f61ab040189502
1704,CHN,"[18.56141246009497, 109.92881218565341]",8f41709606db0d9
1705,BRA,"[-14.712318582559421, -39.13972431364579]",8f8132121616334
1706,PHL,"[9.282978699054246, 123.25856888595379]",8f6846d4a88c095
1707,NGA,"[6.678739087266576, 3.374659828780599]",8f588229a163cb3
1708,CHN,"[31.745751011723073, 113.3260103878346]",8f40a2005a24a29
1709,DZA,"[36.55816157040722, 3.964743702471275]",8f387489287006c
1710,IND,"[26.148112772128524, 78.147784362781]",8f3d80a0d98634b
1711,IDN,"[-6.222967557457038, 106.59477423864041]",8f8c106ee968899
1712,BRA,"[-12.333672542274028, -40.54615166985726]",8f811524315276a
1713,IND,"[22.33948212697622, 69.8370008051808]",8f42c626e7b55b4
1714,CHN,"[23.58593269438775, 110.35086330658052]",8f4025481773211
1715,IND,"[12.883407569405476, 77.66021341552103]",8f61892712abce0
1716,IND,"[22.96071148562109, 88.43911453102629]",8f3cf290da06796
1717,IND,"[10.633733675243628, 77.0066894383941]",8f6031501245806
1718,IND,"[21.809372626361878, 74.21851066490987]",8f609b45a449281
1719,BRA,"[-4.364993478128099, -38.855905461677224]",8f8010d49d75ad4
1720,IDN,"[-6.565001741363266, 106.6434887473524]",8f8c1038601ec06
1721,IND,"[22.2791687868323, 73.16836760547713]",8f42ca8ee321684
1722,IND,"[17.5233994378714, 73.54302058371924]",8f608d42a51d8dc
1723,THA,"[15.62644381295667, 100.14752267929713]",8f64a286528b214
1724,IND,"[20.57692760373911, 74.54335859789795]",8f609836ad248f2
1725,THA,"[16.333478476709214, 100.72763789072106]",8f64b534a46a36a
1726,IDN,"[-0.912052270202968, 134.02183898360104]",8f72a2a650d6c6d
1727,IND,"[18.63081455277976, 73.85972878186398]",8f60885ab336014
1728,THA,"[19.45035461373697, 100.0231699069366]",8f6495461a90d18
1729,IND,"[12.859570447250373, 80.07480017650384]",8f618c448a098c2
1730,CHN,"[29.700971145369603, 106.7605847398823]",8f40194cb5b2d4b
1731,IND,"[26.943921399349424, 76.79128473092103]",8f3da34a029e1a9
1732,GTM,"[14.401701051850043, -91.16108552932853]",8f6d2b86aac5853
1733,CHN,"[30.58368539006027, 117.02784519633208]",8f419e70a6a5d4b
1734,IND,"[12.285638707209047, 76.30671771590295]",8f6015195973825
1735,KHM,"[11.25287959671884, 104.71091736613975]",8f6584286c53b71
1736,THA,"[10.917966975561693, 99.37698495682278]",8f643239021c762
1737,CHN,"[24.085552073225177, 98.04718597220088]",8f406b468761b76
1738,NGA,"[6.103317869803795, 6.79902286425814]",8f588b05145a948
1739,IDN,"[-6.650777144290117, 106.80055709595612]",8f8c100724a3302
1740,BRA,"[-13.363484931727571, -39.127023693755326]",8f811402a16aa5c
1741,VNM,"[12.273285972160993, 109.06125282130971]",8f6914d23aecb4d
1742,MYS,"[4.815891786880366, 103.21045477810728]",8f65064c3ca8d8b
1743,VNM,"[16.626267472155774, 106.75942499524542]",8f416101805d740
1744,IND,"[18.35760998171488, 74.07878350457601]",8f6088d9d19e422
1745,IND,"[22.15058510986363, 70.78551138427457]",8f42c3d092a6795
1746,CHN,"[22.83967607043997, 113.08182072950737]",8f411d7222c468b
1747,CHN,"[24.419043074413683, 110.4008297661929]",8f40207336a1c08
1748,TUR,"[40.51011779476193, 27.51642899656979]",8f1ec86abaf0c04
1749,MYS,"[4.263689269176113, 103.39785569477274]",8f6506c54b4d488
1750,THA,"[16.57085580806341, 104.40228996124503]",8f416d799133702
1751,DZA,"[36.72391588588586, 8.298225506969573]",8f38630a80e2c42
1752,DOM,"[18.418108808963957, -68.85352741546075]",8f4cc64da04c4c9
1753,IND,"[18.749963420305388, 76.39030071589056]",8f60807a270998b
1754,IND,"[9.173537092052271, 77.5453265518106]",8f603586843289e
1755,IND,"[11.934562906603926, 79.76186157558942]",8f61ab79a8ce424
1756,THA,"[7.37162181254604, 99.99952723412893]",8f651b8a9c52af0
1757,VNM,"[16.6579754859895, 107.23685677515483]",8f4161c8c02030d
1758,CHN,"[24.081860903659113, 110.78782401722151]",8f4020c0b92ec1b
1759,IDN,"[-6.152033822608237, 106.65976789502666]",8f8c106f226a84b
1760,IDN,"[-6.088198871836956, 107.00595302715618]",8f8c12b2961ab70
1761,THA,"[6.833043056837073, 100.9983474732746]",8f6518ce5caa511
1762,BRA,"[-7.350669493973159, -41.15545196332057]",8f803505a82e003
1763,VNM,"[11.839979622730477, 107.02246505172526]",8f65b0292db5492
1764,IND,"[20.91684235228258, 74.80265272823375]",8f60987646ec08b
1765,MYS,"[5.987669829566836, 102.09011051960266]",8f651cd8695c750
1766,HTI,"[18.20721772420636, -73.76385558610706]",8f672628b0444ee
1767,IDN,"[-6.277773467695084, 106.74212319739861]",8f8c10606910593
1768,IND,"[16.54033284236244, 80.64640695095042]",8f619aa6acc688e
1769,IDN,"[-6.926560071817123, 109.74705864907514]",8f8d88171cb0865
1770,IDN,"[-6.169169392368519, 106.9332473001605]",8f8c12b65961a50
1771,IND,"[10.959247996835435, 77.00205150995582]",8f6031496aaa144
1772,IND,"[20.454542543615048, 72.92711086949424]",8f42d949387644a
1773,PHL,"[11.631235744245451, 122.4492164484356]",8f686609e65c2ce
1774,MYS,"[6.153218674527206, 100.49341657223093]",8f651d4e254344d
1775,IDN,"[-3.35870379303555, 112.6325647172636]",8f689242916674e
1776,KHM,"[10.630595783547468, 103.54695310081458]",8f65853299106e2
1777,IDN,"[-1.073102534339327, 101.62583621579519]",8f8cd05680cea09
1778,IND,"[27.423266929961194, 74.61475635073029]",8f3da6cca55ada8
1779,THA,"[14.82761407608235, 100.46130089324636]",8f64a469a41e1a8
1780,IND,"[12.917218327842152, 80.19584014083368]",8f618c4568458cb
1781,PHL,"[14.343002539241537, 120.83125179434802]",8f694335822cb91
1782,IND,"[21.372670471160923, 72.98054100467533]",8f42d982b89ba34
1783,IND,"[23.09561042983137, 72.61721023760883]",8f42cc695909bb2
1784,IND,"[21.156380925011774, 72.81666325263605]",8f42d9d4c91cc89
1785,IND,"[21.942464019480965, 70.79248735830288]",8f42c3ca23344b1
1786,IND,"[13.184481080672885, 78.76634296678142]",8f618835d4a4a8a
1787,NGA,"[8.465701289881476, 4.445588778757403]",8f58aa58509a393
1788,IND,"[27.709921880848473, 80.90319023077058]",8f3dab276bb464e
1789,PHL,"[6.947679028895215, 125.07896030671344]",8f685c78c744c55
1790,IND,"[21.288260283601975, 71.29484169955694]",8f42dc149d106a6
1791,CHN,"[27.260151584901347, 111.46444397376735]",8f4033089621583
1792,IND,"[17.545737116152274, 78.20214133961446]",8f60b1b23aa5c9e
1793,IDN,"[-6.76577882383104, 110.90890863088279]",8f8d8e81badeae0
1794,THA,"[16.56682164264693, 100.42297564276225]",8f64a241280355a
1795,IND,"[12.908837172005088, 80.19943327625907]",8f618c40926d482
1796,IDN,"[-6.165323067366863, 106.51711950084632]",8f8c106c9648d59
1797,IND,"[26.862156674826068, 80.97046803542047]",8f3d8dcc2c61c92
1798,THA,"[6.556101510128022, 101.66496786378683]",8f651eb25089366
1799,CHN,"[29.759906270181318, 115.20509956185218]",8f41999ae0f131c
1800,CHN,"[22.300723096781713, 110.24387872458033]",8f410b245186082
1801,TUR,"[36.84690480613945, 31.146789766394146]",8f3f681b4910805
1802,CHN,"[24.0581609169517, 117.68181298056406]",8f41a5068731d86
1803,IDN,"[-5.682633229427728, 105.6166782043461]",8f8cad92dd03041
1804,CHN,"[27.199308005153622, 116.54916230087639]",8f41856e2095aa0
1805,CHN,"[28.866580114451747, 121.53885203158984]",8f4b304350d8475
1806,IND,"[24.562923660283502, 80.87541678987955]",8f3d8a7a0215daa
1807,TZA,"[-6.929309726201535, 39.13060533424214]",8f7b4c849a68385
1808,IDN,"[-6.760622262849151, 111.38031824605771]",8f8d816ac03294c
1809,NGA,"[6.650271537557256, 3.39898932124856]",8f589c930865384
1810,IND,"[13.910533735232733, 75.5530285560191]",8f60131542a236b
1811,IND,"[17.97243789662451, 73.89820957405657]",8f6088980659d00
1812,CHN,"[23.706690681614663, 116.71858216003052]",8f4112bb1355602
1813,IND,"[28.411360738677256, 77.13386306956968]",8f3da1016d0e675
1814,NGA,"[6.455321911067585, 3.319226887999481]",8f589cd64ad3296
1815,CHN,"[23.749397209423655, 117.48613563378855]",8f41a5a60119c33
1816,IDN,"[-6.245501898880589, 106.56372209963797]",8f8c106ed85b640
1817,IND,"[26.205581957964863, 81.2719621180374]",8f3d88aa3d5da9c
1818,DZA,"[36.69780088568429, 7.642890184620109]",8f3862265091410
1819,IND,"[21.01251893482023, 75.81483011305578]",8f609ea9d67670e
1820,MYS,"[5.054722524754517, 115.53802017728732]",8f68107112598ed
1821,THA,"[6.351807195601902, 101.9020248733112]",8f651c5a3da6a22
1822,ALB,"[40.744888391756156, 19.573821085106573]",8f1ed6b73ae8195
1823,BRA,"[-7.068388035793482, -49.90611202441113]",8f814ec36099296
1824,BRA,"[-25.5337407983666, -48.667027736693974]",8fa83172486c542
1825,MMR,"[18.162287921739004, 96.60823111258352]",8f648e89114bb16
1826,THA,"[7.634805649475929, 100.03442206763303]",8f651b1a4d52160
1827,VNM,"[9.90462727380817, 106.2878664783736]",8f65a2d65034925
1828,THA,"[7.427263979508115, 100.21425231857354]",8f651bd6ec85da2
1829,IND,"[22.208387733297347, 74.77994953027398]",8f42cb64e11c79a
1830,IND,"[22.04822511804903, 69.5401146794604]",8f42c674571154c
1831,NGA,"[4.835498186265963, 7.091709350881955]",8f82d8489b61199
1832,ALB,"[40.47990476593124, 19.47264217860592]",8f1ed6aab576314
1833,IND,"[17.434518029491034, 78.32038080329198]",8f60a24a1442609
1834,VNM,"[14.042516388910133, 108.31023596493345]",8f6936a1e294934
1835,IND,"[19.12490946633295, 72.94339202947502]",8f608b540541142
1836,IDN,"[-7.837674023198375, 111.01404063296287]",8f8daa60344c533
1837,CHN,"[29.183634130988473, 120.16839643310931]",8f419682e902d1d
1838,CHN,"[32.745338521496286, 105.2696165598559]",8f40f3226301110
1839,PHL,"[14.956568526101156, 120.64032760300591]",8f694145b6cb075
1840,DZA,"[36.7074881829131, 7.893629550015869]",8f386352c322062
1841,DOM,"[19.29859812910703, -69.52924243320663]",8f4cf3cd83352c1
1842,CHN,"[24.358794218265, 117.91624007013814]",8f41a546b31e2c3
1843,MMR,"[19.273789637013735, 95.162118151425]",8f648a39dd25610
1844,NGA,"[6.56432240015363, 3.937061341387502]",8f589cb60d268d9
1845,IDN,"[-6.857638755890942, 109.10943701319691]",8f8d8953405a044
1846,PHL,"[13.633082232722806, 123.22032402604128]",8f694b7a54d3769
1847,VEN,"[10.479848640063935, -68.16583730911897]",8f67430f40ddac2
1848,CHN,"[31.558414692785536, 121.20924056125449]",8f3099db6a502e5
1849,IND,"[10.76890784021, 79.6432475425301]",8f61a94eb2ac371
1850,IND,"[9.99135417611429, 76.36628885921942]",8f6031a42b9919d
1851,PHL,"[10.346460888125153, 124.9671480424021]",8f684518a261074
1852,CHN,"[24.683607491949818, 118.07519064726876]",8f41a0b1cd6d493
1853,IND,"[19.75745323853404, 73.7656201960936]",8f608a794532649
1854,PHL,"[10.29873746972323, 124.8113032933279]",8f6845564171211
1855,CMR,"[4.125112640421931, 9.588715153077372]",8f82d2bae0e5249
1856,CHN,"[24.639272123442876, 118.04379415842422]",8f41a0b2a6028e8
1857,THA,"[8.250449440181884, 98.32115035638726]",8f6422c12a3460e
1858,IND,"[18.111602902007387, 73.48252944765282]",8f608814a85d2e3
1859,PHL,"[14.681369185879998, 120.96673113758439]",8f694ed0868d245
1860,PHL,"[11.577232370474727, 124.43176874027588]",8f6863b842dcd0e
